"name","city","state","zip"
"May Flowers Gifts","Florence","AL","35633"
"Job Konnections","Lanett","AL","36863"
"Two Friends Florist","Lincoln","AL","35096"
"Forever Flower","Jackson","AL","36545"
"Flower Box","Leighton","AL","35646"
"My Lady's Florist","Jasper","AL","35501"
"D C Flowers Balloons Gifts","Anchorage","AK","99503"
"Allen's Flowers","Lafayette","AL","36862"
"Eastside Flowers","Gadsden","AL","35903"
"Tees Creations","Linden","AL","36748"
"Gail's Florist","Lineville","AL","36266"
"Country Home Flowers Gifts","Huntsville","AL","35805"
"Kay's Flowers Gifts","Leeds","AL","35094"
"Abby Oakes Floral Gifts","Dothan","AL","36301"
"Purple Petals Flowers Gifts","Lexington","AL","35648"
"McKenzie Street Florist Specialty Rental, LLC","Foley","AL","36535"
"Highflowers Florist","Leesburg","AL","35983"
"Jones Florists","Birmingham","AL","35214"
"Greenhill Flowers Gifts","Florence","AL","35634"
"Dogwood Florist","Livingston","AL","35470"
"Audra's Flowers","Jasper","AL","35504"
"Charleyburl's","Linden","AL","36748"
"Rose Garden Balloons Arts","Anchorage","AK","99503"
"Market Basket","Leeds","AL","35094"
"Grandma Dee's Florist Gifts","Loxley","AL","36551"
"Rabbit's Nest Florist and Gifts","Madison","AL","35757"
"Flowers By Rita Custom Framing","Gadsden","AL","35901"
"Blooms By Ciara","Huntsville","AL","35801"
"This That Gift Flower Shop","Birmingham","AL","35214"
"Flowers By Michelle","Luverne","AL","36049"
"Stemz","Foley","AL","36535"
"Hall's Dothan Wholesale Florist","Dothan","AL","36301"
"Something Ele'gant","Florence","AL","35630"
"Dogwood Florist","Livingston","AL","35470"
"Nelly's Florist","Linden","AL","36748"
"Jasper Floral Co.","Jasper","AL","35503"
"Accent Floral Designs","Jacksonville","AL","36265"
"Grandma Dee's Florist Gifts","Loxley","AL","36551"
"Glenns Florist","Huntsville","AL","35805"
"Roses Express","Birmingham","AL","35214"
"Susan's Silk Florals","Leeds","AL","35094"
"Ideal Flower Shop","Gadsden","AL","35901"
"Heritage Florist Gifts","Madison","AL","35758"
"Pailsey's Petals","Luverne","AL","36049"
"United Flower Shop Inc","Marion","AL","36756"
"Gift Baskets Delivered","Foley","AL","36535"
"Flowers David","Linden","AL","36748"
"White's","Dothan","AL","36301"
"Bridgesbrite","Florence","AL","35630"
"Rustic Rose","Jasper","AL","35501"
"Bloomin' Miracles","Jacksonville","AL","36265"
"Treasure Shack Flowers Gifts","Henagar","AL","35978"
"Cedarhill Floral","Melvin","AL","36913"
"Millry Florist","Millry","AL","36558"
"Deb's Bagley Florist","Birmingham","AL","35228"
"Flowers Robert L Jr","Huntsville","AL","35806"
"Yanna's Flowers Gifts","Marion","AL","36756"
"Heart of Dixie Orchid Society","Madison","AL","35758"
"Silk Flower Gifts","Linden","AL","36748"
